nl,prompt,canonical_solution,test
khk_Cyrl,"
def decimal_to_binary(decimal):
    """"""Таныг арванхоёрдугаар хэлбэрээр тоо өгнө, таны ажил нь түүнийг хоёрдугаар хэлбэрт хувиргах явдал юм. Функц нь нэг үсэг буцааж өгөх ёстой, үсэг бүр хоёрдугаар тоог илэрхийлэх. Үсэг бүр нь '0' эсвэл '1' байх болно. Үсэгний эхэнд болон төгсгөлд нэмэлт хос 'db' тэмдэгт байх болно. Үүнээс гадна үсэг нь хэлбэрт туслах болно. Жишээ нь: decimal_to_binary(15) # ""db1111db"" decimal_to_binary32) # ""db100000db"" буцааж өгнө
    """"""
","    return ""db"" + bin(decimal)[2:] + ""db""
","def check(candidate):

    # Check some simple cases
    assert candidate(0) == ""db0db""
    assert candidate(32) == ""db100000db""
    assert candidate(103) == ""db1100111db""
    assert candidate(15) == ""db1111db"", ""This prints if this assert fails 1 (good for debugging!)""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""

"
khm_Khmr,"from typing import List


def concatenate(strings: List[str]) -> str:
    """""" បញ្ចូលបញ្ជីនៃខ្សែសង្វាក់ទៅជាខ្សែសង្វាក់តែមួយ
    >>> concatenate([])
    ''
    >>> concatenate(['a', 'b', 'c'])
    'abc'
    """"""
","    return ''.join(strings)
","def check(candidate):
    assert candidate([]) == ''
    assert candidate(['x', 'y', 'z']) == 'xyz'
    assert candidate(['x', 'y', 'z', 'w', 'k']) == 'xyzwk'
"
kik_Latn,"
def even_odd_count(num):
    """"""Gĩkĩ kĩhe namba ĩtarĩ ya mũigana. gũcokia namba ĩtarĩ ya mũigana na ya mũigana. Ngerekano: even_odd_count(-12) ==> (1, 1) even_odd_count(123) ==> (1, 2)
    """"""
","    even_count = 0
    odd_count = 0
    for i in str(abs(num)):
        if int(i)%2==0:
            even_count +=1
        else:
            odd_count +=1
    return (even_count, odd_count)
","def check(candidate):

    # Check some simple cases
    assert candidate(7) == (0, 1)
    assert candidate(-78) == (1, 1)
    assert candidate(3452) == (2, 2)
    assert candidate(346211) == (3, 3)
    assert candidate(-345821) == (3, 3)
    assert candidate(-2) == (1, 0)
    assert candidate(-45347) == (2, 3)
    assert candidate(0) == (1, 0)


    # Check some edge cases that are easy to work out by hand.
    assert True

"
kin_Latn,"
def get_row(lst, x):
    """"""
    Uhabwa amakuru yo mu byiciro 2, nk'urutonde rwashyizwe mu ishyingurano, risa na matrice, ariko bitandukanye na matrice, buri murongo ushobora kuba urimo umubare utandukanye w'inkingi. Gutanga lst, na integer x, shaka integer x kurutonde, hanyuma usubize urutonde rwa tuples, [(x1, y1), (x2, y2)...] kuburyo buri tuple ari coordinate - (umurongo, inkingi), itangira na 0. Gutegura ibipimo by'ibanze mu mibare muburyo bw'inyongera. Nanone, gutondekanya ibipimo by'umurongo mu nkingi muburyo bwamanuka. Ingero: get_row [1,2,3,4,5,6], [1,2,3,4,1,6], [1,2,3,4,5,1], 1) == [0, 0, 0, 0, 0, 1, 4], 0 (2, 5), (2, 0, 0
    """"""
","    coords = [(i, j) for i in range(len(lst)) for j in range(len(lst[i])) if lst[i][j] == x]
    return sorted(sorted(coords, key=lambda x: x[1], reverse=True), key=lambda x: x[0])
","def check(candidate):

    # Check some simple cases
    assert candidate([
        [1,2,3,4,5,6],
        [1,2,3,4,1,6],
        [1,2,3,4,5,1]
    ], 1) == [(0, 0), (1, 4), (1, 0), (2, 5), (2, 0)]
    assert candidate([
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,2,3,4,5,6]
    ], 2) == [(0, 1), (1, 1), (2, 1), (3, 1), (4, 1), (5, 1)]
    assert candidate([
        [1,2,3,4,5,6],
        [1,2,3,4,5,6],
        [1,1,3,4,5,6],
        [1,2,1,4,5,6],
        [1,2,3,1,5,6],
        [1,2,3,4,1,6],
        [1,2,3,4,5,1]
    ], 1) == [(0, 0), (1, 0), (2, 1), (2, 0), (3, 2), (3, 0), (4, 3), (4, 0), (5, 4), (5, 0), (6, 5), (6, 0)]
    assert candidate([], 1) == []
    assert candidate([[1]], 2) == []
    assert candidate([[], [1], [1, 2, 3]], 3) == [(2, 2)]

    # Check some edge cases that are easy to work out by hand.
    assert True

"
kir_Cyrl,"


def sum_squares(lst):
    """""""" Бул функция бүтүн сандардын тизмесин алат. тизмедеги бардык жазуулар үчүн, функция анын индекси 3 эсеби болсо, анда бүтүн сандын жазуусун квадратына чыгарат жана анын индекси 4 эсеби болсо, анда бүтүн сандын жазуусун куб кылат. функция тизмедеги жазууларды өзгөртпөйт, анын индекси 3 же 4 эсеби болбосо. функция андан кийин бардык жазуулардын суммасын кайтарат. Мисалы: lst = [1,2,3] үчүн чыгаруу 6 болушу керек lst = [] үчүн чыгаруу 0 болушу керек lst = [-1,-5,2,-1,-5] үчүн чыгаруу -126 болушу керек
    """"""
","    result =[]
    for i in range(len(lst)):
        if i %3 == 0:
            result.append(lst[i]**2)
        elif i % 4 == 0 and i%3 != 0:
            result.append(lst[i]**3)
        else:
            result.append(lst[i])
    return sum(result)
","def check(candidate):

    # Check some simple cases
    
    assert candidate([1,2,3]) == 6
    assert candidate([1,4,9]) == 14
    assert candidate([]) == 0
    assert candidate([1,1,1,1,1,1,1,1,1]) == 9
    assert candidate([-1,-1,-1,-1,-1,-1,-1,-1,-1]) == -3
    assert candidate([0]) == 0
    assert candidate([-1,-5,2,-1,-5]) == -126
    assert candidate([-56,-99,1,0,-2]) == 3030
    assert candidate([-1,0,0,0,0,0,0,0,-1]) == 0
    assert candidate([-16, -9, -2, 36, 36, 26, -20, 25, -40, 20, -4, 12, -26, 35, 37]) == -14196
    assert candidate([-1, -3, 17, -1, -15, 13, -1, 14, -14, -12, -5, 14, -14, 6, 13, 11, 16, 16, 4, 10]) == -1448
    
    
    # Don't remove this line:
"
kmb_Latn,"
def exchange(lst1, lst2):
    """"""Mu kibhwidisu kiki, wa-nda sola funzyo i sola o izwelu ya-nda londekesa o izwelu ya beta kota, phala kubhanga o mbandu ya lst1 ni ya lst2. Se o izwelu ya beta kota, o izwelu ""KIA"". Se ki kiene, soneka ""KIA"". Mu kifika: exchange[(1, 2, 3, 4], [1, 2, 3, 4]) => ""KIA"" exchange[(1, 2, 3, 4], [1, 5, 3, 4]) => ""KIA"" Se ki kiene, soneka ""KIA"".
    """"""
","    odd = 0
    even = 0
    for i in lst1:
        if i%2 == 1:
            odd += 1
    for i in lst2:
        if i%2 == 0:
            even += 1
    if even >= odd:
        return ""YES""
    return ""NO""
            
","def check(candidate):

    # Check some simple cases
    assert candidate([1, 2, 3, 4], [1, 2, 3, 4]) == ""YES""
    assert candidate([1, 2, 3, 4], [1, 5, 3, 4]) == ""NO""
    assert candidate([1, 2, 3, 4], [2, 1, 4, 3]) == ""YES"" 
    assert candidate([5, 7, 3], [2, 6, 4]) == ""YES""
    assert candidate([5, 7, 3], [2, 6, 3]) == ""NO"" 
    assert candidate([3, 2, 6, 1, 8, 9], [3, 5, 5, 1, 1, 1]) == ""NO""

    # Check some edge cases that are easy to work out by hand.
    assert candidate([100, 200], [200, 200]) == ""YES""

"
kmr_Latn,"
def starts_one_ends(n):
    """"""
    Given a integer erênî n, vegerandina hejmara hejmara integer erênî n-digit ku dest pê bike an bi dawî bi 1.
    """"""
","    if n == 1: return 1
    return 18 * (10 ** (n - 2))
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(1) == 1
    assert candidate(2) == 18
    assert candidate(3) == 180
    assert candidate(4) == 1800
    assert candidate(5) == 18000

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""

"
knc_Arab,"from typing import List


def rescale_to_unit(numbers: List[float]) -> List[float]:
    """""" لَوْ أَنَّ لِسَانَكَ لَيْسَ بِمَعْنَى لَكَ، لَكَانَ لِسَانُكَ لَيْسَ بِمَعْنَى لَكَ.
    >>> rescale_to_unit([1.0, 2.0, 3.0, 4.0, 5.0])
    [0.0, 0.25, 0.5, 0.75, 1.0]
    """"""
","    min_number = min(numbers)
    max_number = max(numbers)
    return [(x - min_number) / (max_number - min_number) for x in numbers]
","def check(candidate):
    assert candidate([2.0, 49.9]) == [0.0, 1.0]
    assert candidate([100.0, 49.9]) == [1.0, 0.0]
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0]) == [0.0, 0.25, 0.5, 0.75, 1.0]
    assert candidate([2.0, 1.0, 5.0, 3.0, 4.0]) == [0.25, 0.0, 1.0, 0.5, 0.75]
    assert candidate([12.0, 11.0, 15.0, 13.0, 14.0]) == [0.25, 0.0, 1.0, 0.5, 0.75]
"
knc_Latn,"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" Lambawa kәla kәlabe dәn, kәla kәnәngalan nәm kәla kәnәngalan kәla dataset dәn. Kәnәngalan nәm kәnәngalan nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nәm nә
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
","def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

"
kon_Latn,"
def digits(n):
    """"""Pesa ntalu ya mvimba ya mbote n, vutula ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu ya ntalu
    """"""
","    product = 1
    odd_count = 0
    for digit in str(n):
        int_digit = int(digit)
        if int_digit%2 == 1:
            product= product*int_digit
            odd_count+=1
    if odd_count ==0:
        return 0
    else:
        return product
","def check(candidate):

    # Check some simple cases
    assert candidate(5) == 5
    assert candidate(54) == 5
    assert candidate(120) ==1
    assert candidate(5014) == 5
    assert candidate(98765) == 315
    assert candidate(5576543) == 2625

    # Check some edge cases that are easy to work out by hand.
    assert candidate(2468) == 0

"
kor_Hang,"
def is_multiply_prime(a):
    """"""주어진 숫자가 3개의 소수들의 곱이고, 그렇지 않으면 거짓인 경우를 참으로 반환하는 함수를 작성한다. (a) 가 100보다 작다는 것을 알고 있다. 예: is_multiply_prime(30) == True 30 = 2 * 3 * 5
    """"""
","    def is_prime(n):
        for j in range(2,n):
            if n%j == 0:
                return False
        return True

    for i in range(2,101):
        if not is_prime(i): continue
        for j in range(2,101):
            if not is_prime(j): continue
            for k in range(2,101):
                if not is_prime(k): continue
                if i*j*k == a: return True
    return False
","def check(candidate):

    assert candidate(5) == False
    assert candidate(30) == True
    assert candidate(8) == True
    assert candidate(10) == False
    assert candidate(125) == True
    assert candidate(3 * 5 * 7) == True
    assert candidate(3 * 6 * 7) == False
    assert candidate(9 * 9 * 9) == False
    assert candidate(11 * 9 * 9) == False
    assert candidate(11 * 13 * 7) == True

"
lao_Laoo,"

def fibfib(n: int):
    """"""ລໍາດັບເລກ FibFib ແມ່ນລໍາດັບທີ່ຄ້າຍຄືກັນກັບລໍາດັບ Fibbonacci ທີ່ຖືກ ກໍາ ນົດດັ່ງຕໍ່ໄປນີ້: fibfib(0) == 0 fibfib(1) == 0 fibfib(2) == 1 fibfib(n) == fibfib(n-1) + fibfib(n-2) + fibfib(n-3). ກະລຸນາຂຽນ ຫນ້າ ທີ່ເພື່ອຄິດໄລ່ອົງປະກອບ n ຂອງລໍາດັບເລກ fibfib.
    >>> fibfib(1)
    0
    >>> fibfib(5)
    4
    >>> fibfib(8)
    24
    """"""
","    if n == 0:
        return 0
    if n == 1:
        return 0
    if n == 2:
        return 1
    return fibfib(n - 1) + fibfib(n - 2) + fibfib(n - 3)
","def check(candidate):
    assert candidate(2) == 1
    assert candidate(1) == 0
    assert candidate(5) == 4
    assert candidate(8) == 24
    assert candidate(10) == 81
    assert candidate(12) == 274
    assert candidate(14) == 927

"
lij_Latn,"
def is_equal_to_sum_even(n):
    """"""Evaluâ se o numero dæto n o peu ëse scrito comme a somma de 4 numeri pari positivi exempio is_equal_to_sum_even ((4) == Falso is_equal_to_sum_even ((6) == Falso is_equal_to_sum_even ((8) == Vero
    """"""
","    return n%2 == 0 and n >= 8
","def check(candidate):
    assert candidate(4) == False
    assert candidate(6) == False
    assert candidate(8) == True
    assert candidate(10) == True
    assert candidate(11) == False
    assert candidate(12) == True
    assert candidate(13) == False
    assert candidate(16) == True
"
lim_Latn,"
def eat(number, need, remaining):
    """"""
    Geer zeet 'n hongerig konijn en geer höb al 'n bepaold aantal wortels gegete, meh noe mót geer nog meer wortels ete um de daag vol te make. Geer moot 'n reeks van [total aantal gegete wortels nao de maaltijden, 't aantal wortels dat nao de maaltijden nog blief] retourne es d'r neet genóg aafgebleve wortels zeen, dan zèt geer alle aafgebleve wortels op, meh geer zèt nog ummer hongerig. Beveurbeeld: * eet ((5, 6, 10) -> [11, 4] * eet ((4, 8, 9) -> [12, 1] * eet ((1, 10, 10) -> [11, 0] * eet ((2, 11, 5) -> [7, 0] Variabele: @nummer: intjer aantal wortels die geer al gegete höb. @behoef
    """"""
","    if(need <= remaining):
        return [ number + need , remaining-need ]
    else:
        return [ number + remaining , 0]
","def check(candidate):

    # Check some simple cases
    assert True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(5, 6, 10) == [11, 4], ""Error""
    assert candidate(4, 8, 9) == [12, 1], ""Error""
    assert candidate(1, 10, 10) == [11, 0], ""Error""
    assert candidate(2, 11, 5) == [7, 0], ""Error""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate(4, 5, 7) == [9, 2], ""Error""
    assert candidate(4, 5, 1) == [5, 0], ""Error""

"
lin_Latn,"
def special_factorial(n):
    """"""Factoriale ya Brésil elimbolami lokola: brazilian_factorial ((n) = n! * (n-1)! * (n-2)! *... * 1! esika n > 0 Na ndakisa:
    >>> special_factorial(4)
    288

    The function will receive an integer as input and should return the special
    factorial of this integer.
    """"""
","    fact_i = 1
    special_fact = 1
    for i in range(1, n+1):
        fact_i *= i
        special_fact *= fact_i
    return special_fact
","def check(candidate):

    # Check some simple cases
    assert candidate(4) == 288, ""Test 4""
    assert candidate(5) == 34560, ""Test 5""
    assert candidate(7) == 125411328000, ""Test 7""

    # Check some edge cases that are easy to work out by hand.
    assert candidate(1) == 1, ""Test 1""

"
lit_Latn,"
def unique_digits(x):
    """"""Jei pateikiamas teigiamų skaičių x sąrašas, grąžina visus elementus, kuriuose nėra porainių skaitmenų, surūšiuotą sąrašą.
    >>> unique_digits([15, 33, 1422, 1])
    [1, 15, 33]
    >>> unique_digits([152, 323, 1422, 10])
    []
    """"""
","    odd_digit_elements = []
    for i in x:
        if all (int(c) % 2 == 1 for c in str(i)):
            odd_digit_elements.append(i)
    return sorted(odd_digit_elements)
","def check(candidate):

    # Check some simple cases
    assert candidate([15, 33, 1422, 1]) == [1, 15, 33]
    assert candidate([152, 323, 1422, 10]) == []
    assert candidate([12345, 2033, 111, 151]) == [111, 151]
    assert candidate([135, 103, 31]) == [31, 135]

    # Check some edge cases that are easy to work out by hand.
    assert True

"
lmo_Latn,"
def x_or_y(n, x, y):
    """"""Un program simpl che al dovariss rend el valor de x se n l'è un numer prim e al dovariss rend el valor de y se no. Esempi: per x_or_y(7, 34, 12) == 34 per x_or_y(15, 8, 5) == 5
    
    """"""
","    if n == 1:
        return y
    for i in range(2, n):
        if n % i == 0:
            return y
            break
    else:
        return x
","def check(candidate):

    # Check some simple cases
    assert candidate(7, 34, 12) == 34
    assert candidate(15, 8, 5) == 5
    assert candidate(3, 33, 5212) == 33
    assert candidate(1259, 3, 52) == 3
    assert candidate(7919, -1, 12) == -1
    assert candidate(3609, 1245, 583) == 583
    assert candidate(91, 56, 129) == 129
    assert candidate(6, 34, 1234) == 1234
    

    # Check some edge cases that are easy to work out by hand.
    assert candidate(1, 2, 0) == 0
    assert candidate(2, 2, 0) == 2

"
ltg_Latn,"
def can_arrange(arr):
    """"""Sagatavuot funkceju, kas atdūd leluokū indeksu elementu, kas nav leluoks voi vīnaids ar tū pošu īprīkšejū elementu. Ka taidu elementu nav, tod atsoka -1. Dāts kuorteibuos nabyus dublikatu vierteibys. Pīmāri: can_arrange (([1,2,4,3,5]) = 3 can_arrange[(1,2,3]) = -1
    """"""
","    ind=-1
    i=1
    while i<len(arr):
      if arr[i]<arr[i-1]:
        ind=i
      i+=1
    return ind
","def check(candidate):

    # Check some simple cases
    assert candidate([1,2,4,3,5])==3
    assert candidate([1,2,4,5])==-1
    assert candidate([1,4,2,5,6,7,8,9,10])==2
    assert candidate([4,8,5,7,3])==4

    # Check some edge cases that are easy to work out by hand.
    assert candidate([])==-1

"
ltz_Latn,"
def compare_one(a, b):
    """"""
    Eng Funktioun kreéieren, déi ganz Zuelen, Floats oder Sträng, déi real Zuelen representéieren, hëlt an déi méi grouss Variabel an hirem bestëmmte Variabeltyp zréckginn. Returne None wann d'Wäerter gläich sinn.
    """"""
","    temp_a, temp_b = a, b
    if isinstance(temp_a, str): temp_a = temp_a.replace(',','.')
    if isinstance(temp_b, str): temp_b = temp_b.replace(',','.')
    if float(temp_a) == float(temp_b): return None
    return a if float(temp_a) > float(temp_b) else b 
","def check(candidate):

    # Check some simple cases
    assert candidate(1, 2) == 2
    assert candidate(1, 2.5) == 2.5
    assert candidate(2, 3) == 3
    assert candidate(5, 6) == 6
    assert candidate(1, ""2,3"") == ""2,3""
    assert candidate(""5,1"", ""6"") == ""6""
    assert candidate(""1"", ""2"") == ""2""
    assert candidate(""1"", 1) == None

    # Check some edge cases that are easy to work out by hand.
    assert True

"
lua_Latn,"
def check_dict_case(dict):
    """"""
    Muaku wa muaku, return True if all keys are strings in lower case or all keys are strings in upper case, otherwise return False. The function should return False is the given dictionary is empty. Example: check_dict_case{""a"":""apple"", ""b"":""banana""}) should return True. check_dict_case{""a"":""apple"", ""A"":""banana"", ""B"":""banana""}) should return False. check_dict_case{""a"":""apple"", 8:""banana"", ""a"":""apple""}) should return False. check_dict_case{""Name"":""John"", ""Age"":""36"", ""City"":""Houston""}) should return False. check_dict_case{""NC"":""STATE"", ""Z
    """"""
","    if len(dict.keys()) == 0:
        return False
    else:
        state = ""start""
        for key in dict.keys():

            if isinstance(key, str) == False:
                state = ""mixed""
                break
            if state == ""start"":
                if key.isupper():
                    state = ""upper""
                elif key.islower():
                    state = ""lower""
                else:
                    break
            elif (state == ""upper"" and not key.isupper()) or (state == ""lower"" and not key.islower()):
                    state = ""mixed""
                    break
            else:
                break
        return state == ""upper"" or state == ""lower"" 
","def check(candidate):

    # Check some simple cases
    assert candidate({""p"":""pineapple"", ""b"":""banana""}) == True, ""First test error: "" + str(candidate({""p"":""pineapple"", ""b"":""banana""}))
    assert candidate({""p"":""pineapple"", ""A"":""banana"", ""B"":""banana""}) == False, ""Second test error: "" + str(candidate({""p"":""pineapple"", ""A"":""banana"", ""B"":""banana""}))
    assert candidate({""p"":""pineapple"", 5:""banana"", ""a"":""apple""}) == False, ""Third test error: "" + str(candidate({""p"":""pineapple"", 5:""banana"", ""a"":""apple""}))
    assert candidate({""Name"":""John"", ""Age"":""36"", ""City"":""Houston""}) == False, ""Fourth test error: "" + str(candidate({""Name"":""John"", ""Age"":""36"", ""City"":""Houston""}))
    assert candidate({""STATE"":""NC"", ""ZIP"":""12345"" }) == True, ""Fifth test error: "" + str(candidate({""STATE"":""NC"", ""ZIP"":""12345"" }))      
    assert candidate({""fruit"":""Orange"", ""taste"":""Sweet"" }) == True, ""Fourth test error: "" + str(candidate({""fruit"":""Orange"", ""taste"":""Sweet"" }))      


    # Check some edge cases that are easy to work out by hand.
    assert candidate({}) == False, ""1st edge test error: "" + str(candidate({}))

"
lug_Latn,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" Oweebwa olukalala lw'ebikolwa by'okuteeka n'okufulumya ku akaawunti ya bbanka etandika n'omutindo gwa zero. Omulimu gwo kwe kukebera oba nga mu kiseera kyonna omutindo gwa akaawunti guva wansi wa zero, era mu kiseera ekyo enkola erina okudda True. Bwe kitaba bwe kityo, erina okudda False. Ekyokulabirako:
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
"
luo_Latn,"

def get_positive(l: list):
    """"""Duok mana kwan mag namba mabeyo e listno.
    >>> get_positive([-1, 2, -4, 5, 6])
    [2, 5, 6]
    >>> get_positive([5, 3, -5, 2, -3, 3, 9, 0, 123, 1, -10])
    [5, 3, 2, 3, 9, 123, 1]
    """"""
","    return [e for e in l if e > 0]
","def check(candidate):
    assert candidate([-1, -2, 4, 5, 6]) == [4, 5, 6]
    assert candidate([5, 3, -5, 2, 3, 3, 9, 0, 123, 1, -10]) == [5, 3, 2, 3, 3, 9, 123, 1]
    assert candidate([-1, -2]) == []
    assert candidate([]) == []

"
lus_Latn,"
def right_angle_triangle(a, b, c):
    '''
    Thumlek leitek te hmanah an length siam chhuak. Heng thumlek te chu right-angled triangle a ni theih chuan, True return rawh, a ni loh chuan False return rawh.
Right-angled triangle chu a tluk vanga zat a ni, a ni ang 90 degree.
    Example:
    right_angle_triangle(3, 4, 5) == True
    right_angle_triangle(1, 2, 3) == False
    '''
","    return a*a == b*b + c*c or b*b == a*a + c*c or c*c == a*a + b*b
","def check(candidate):

    # Check some simple cases
    assert candidate(3, 4, 5) == True, ""This prints if this assert fails 1 (good for debugging!)""
    assert candidate(1, 2, 3) == False
    assert candidate(10, 6, 8) == True
    assert candidate(2, 2, 2) == False
    assert candidate(7, 24, 25) == True
    assert candidate(10, 5, 7) == False
    assert candidate(5, 12, 13) == True
    assert candidate(15, 8, 17) == True
    assert candidate(48, 55, 73) == True

    # Check some edge cases that are easy to work out by hand.
    assert candidate(1, 1, 1) == False, ""This prints if this assert fails 2 (also good for debugging!)""
    assert candidate(2, 2, 10) == False

"
lvs_Latn,"
def is_bored(S):
    """"""
    Jums tiks dota vārdu virkne, un jūsu uzdevums ir saskaitīt garlaicību skaitu. Garlaicība ir teikums, kas sākas ar vārdu ""I"". teikumi tiek sadalīti ar '.', '?' vai '!'.
    >>> is_bored(""Hello world"")
    0
    >>> is_bored(""The sky is blue. The sun is shining. I love this weather"")
    1
    """"""
","    import re
    sentences = re.split(r'[.?!]\s*', S)
    return sum(sentence[0:2] == 'I ' for sentence in sentences)
","def check(candidate):

    # Check some simple cases
    assert candidate(""Hello world"") == 0, ""Test 1""
    assert candidate(""Is the sky blue?"") == 0, ""Test 2""
    assert candidate(""I love It !"") == 1, ""Test 3""
    assert candidate(""bIt"") == 0, ""Test 4""
    assert candidate(""I feel good today. I will be productive. will kill It"") == 2, ""Test 5""
    assert candidate(""You and I are going for a walk"") == 0, ""Test 6""

    # Check some edge cases that are easy to work out by hand.
    assert True, ""This prints if this assert fails 2 (also good for debugging!)""

"
mag_Deva,"

def monotonic(l: list):
    """"""True लौटावे हियई कि सूची तत्व मनोनित रूप से बढ़ई हई चाहे घटई हई।
    >>> monotonic([1, 2, 4, 20])
    True
    >>> monotonic([1, 20, 4, 10])
    False
    >>> monotonic([4, 1, 0, -10])
    True
    """"""
","    if l == sorted(l) or l == sorted(l, reverse=True):
        return True
    return False
","def check(candidate):
    assert candidate([1, 2, 4, 10]) == True
    assert candidate([1, 2, 4, 20]) == True
    assert candidate([1, 20, 4, 10]) == False
    assert candidate([4, 1, 0, -10]) == True
    assert candidate([4, 1, 1, 0]) == True
    assert candidate([1, 2, 3, 2, 5, 60]) == False
    assert candidate([1, 2, 3, 4, 5, 60]) == True
    assert candidate([9, 9, 9, 9]) == True

"
mai_Deva,"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" अहाँकेँ बैंक खाता पर जमा आ निकासी परिचालनक सूची देल गेल अछि जे शून्य शेष सँ शुरू होइत अछि. अहाँक काज ई पता लगाना अछि जे कोनो समय खाताक शेष शून्य सँ कम अछि, आ ओहि समय फलनकेँ सही लौटाबए चाही. अन्यथा ई गलत लौटाबए चाही. उदाहरण:
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","    balance = 0

    for op in operations:
        balance += op
        if balance < 0:
            return True

    return False
","def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
"
